S.No,IMO Number,Vessel Name,Maker,Model,Make Type,Detail,Engine Type,Mark,Emission,Features,Injection,MAKE,MODEL
264,9889552,GAS PLANET,KAWASAKI MAN B&W,7S60ME-C MARK 10.5,MAN B&W,7S60,ME-C,10.5,,,,MAN BW,7S60::10.5
265,9889552,GAS PLANET,KAWASAKI MAN B&W,7S60ME-C10.5,MAN B&W,7S60,ME-C,10.5,,,,MAN BW,7S60::10.5
266,9765562,GAS STELLA,MITSUI MAN B&W,7S60ME-C8.2,MAN B&W,7S60,ME-C,8.2,,,,MAN BW,7S60::8.2
267,9481697,GCL GANGA,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII.1,TIER II,,,MAN BW,6S60::VIII.1
268,9481697,GCL GANGA,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII,TIER II,,,MAN BW,6S60::VIII
269,9957488,GCL MOBILE,CSSC MES MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
270,9481685,GCL NARMADA,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII.1,TIER II,,,MAN BW,6S60::VIII.1
271,9481685,GCL NARMADA,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII,TIER II,,,MAN BW,6S60::VIII
272,9481661,GCL SABARMATI,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII.1,TIER II,,,MAN BW,6S60::VIII.1
273,9481661,GCL SABARMATI,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII,TIER II,,,MAN BW,6S60::VIII
274,9481659,GCL TAPI,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII.1,TIER II,,,MAN BW,6S60::VIII.1
275,9481659,GCL TAPI,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII,TIER II,,,MAN BW,6S60::VIII
276,9481219,GCL YAMUNA,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII.1,TIER II,,,MAN BW,6S60::VIII.1
277,9481219,GCL YAMUNA,STX MAN B&W,6S60MC-C (MK-VIII.1 TIER II),MAN B&W,6S60,MC-C,VIII,TIER II,,,MAN BW,6S60::VIII
278,9455789,GEDE,WARTSILA CORP.,7RT-FLEX58T-B,Others,,,,,,,Others,
